ID,ID_episode,X,Y,VelX,VelY,Angle,AngularVel,ActionID,ResX,ResY,ResVelX,ResVelY,ResAngle,ResAngularVel,TotalReward
114,1,0.18,1.12,0.89,-0.71,-0.14,-0.14,0,0.19,1.1,0.89,-0.73,-0.14,-0.14,-98.26837204210962
115,1,0.19,1.1,0.89,-0.73,-0.14,-0.14,2,0.2,1.08,0.9,-0.73,-0.15,-0.14,-98.26837204210962
116,1,0.2,1.08,0.9,-0.73,-0.15,-0.14,1,0.21,1.07,0.89,-0.75,-0.16,-0.1,-98.26837204210962
117,1,0.21,1.07,0.89,-0.75,-0.16,-0.1,0,0.22,1.05,0.89,-0.78,-0.16,-0.11,-98.26837204210962
118,1,0.22,1.05,0.89,-0.78,-0.16,-0.11,2,0.23,1.03,0.9,-0.74,-0.17,-0.11,-98.26837204210962
119,1,0.23,1.03,0.9,-0.74,-0.17,-0.11,2,0.24,1.02,0.91,-0.72,-0.17,-0.11,-98.26837204210962
120,1,0.24,1.02,0.91,-0.72,-0.17,-0.11,1,0.25,1.0,0.9,-0.75,-0.18,-0.07,-98.26837204210962
121,1,0.25,1.0,0.9,-0.75,-0.18,-0.07,0,0.25,0.98,0.9,-0.78,-0.18,-0.07,-98.26837204210962
122,1,0.25,0.98,0.9,-0.78,-0.18,-0.07,1,0.26,0.96,0.89,-0.8,-0.18,-0.02,-98.26837204210962
123,1,0.26,0.96,0.89,-0.8,-0.18,-0.02,0,0.27,0.95,0.89,-0.83,-0.18,-0.02,-98.26837204210962
124,1,0.27,0.95,0.89,-0.83,-0.18,-0.02,1,0.28,0.93,0.88,-0.85,-0.18,0.02,-98.26837204210962
125,1,0.28,0.93,0.88,-0.85,-0.18,0.02,1,0.29,0.91,0.87,-0.88,-0.18,0.06,-98.26837204210962
126,1,0.29,0.91,0.87,-0.88,-0.18,0.06,1,0.3,0.89,0.86,-0.91,-0.17,0.1,-98.26837204210962
127,1,0.3,0.89,0.86,-0.91,-0.17,0.1,2,0.31,0.87,0.88,-0.89,-0.17,0.11,-98.26837204210962
128,1,0.31,0.87,0.88,-0.89,-0.17,0.11,1,0.32,0.85,0.87,-0.92,-0.16,0.15,-98.26837204210962
129,1,0.32,0.85,0.87,-0.92,-0.16,0.15,0,0.32,0.82,0.87,-0.94,-0.15,0.15,-98.26837204210962
130,1,0.32,0.82,0.87,-0.94,-0.15,0.15,0,0.33,0.8,0.87,-0.97,-0.14,0.15,-98.26837204210962
131,1,0.33,0.8,0.87,-0.97,-0.14,0.15,2,0.34,0.78,0.88,-0.95,-0.14,0.14,-98.26837204210962
132,1,0.34,0.78,0.88,-0.95,-0.14,0.14,2,0.35,0.76,0.88,-0.95,-0.13,0.14,-98.26837204210962
